"key","from","to","rho_ctrl","padj_ctrl","rho_low","padj_low","delta_rho","sig_ctrl","sig_low","edge_state"
"LPE/PS||PC/SQDG","LPE/PS","LPE/PS",-0.447339876240877,3.39094894423977e-18,0.184654834357507,0.000859436260575107,0.631994710598384,TRUE,TRUE,"sign_flip"
"PC/PG||PE/DGDG","PC/PG","PE/DGDG",0.447206031849064,3.47727731861049e-18,0.554872713715161,3.56703848237385e-29,0.107666681866097,TRUE,TRUE,"stable_or_weak"
"MG/DGDG||SQDG/LPC","MG/DGDG","SQDG/LPC",-0.446644904659341,3.88268665410302e-18,-0.0897390436697504,0.119755316395693,0.35690586098959,TRUE,FALSE,"lost_in_LI"
"LPE/PG||PG/PA","LPE/PG","PG/PA",-0.446314987621405,4.13971213954216e-18,-0.362251858130309,6.40693836564264e-12,0.0840631294910962,TRUE,TRUE,"stable_or_weak"
"MG/PE||MGDG/PG","MG/PE","MGDG/PG",0.445493145504143,4.86625301598083e-18,0.453836023185389,9.13012690245708e-19,0.00834287768124642,TRUE,TRUE,"stable_or_weak"
"PE/SQDG||TG/SQDG","PE/SQDG","PE/SQDG",0.444446798865944,5.97738782494177e-18,0.215171355690801,8.75254187917041e-05,-0.229275443175143,TRUE,TRUE,"rewired_strength"
"DGDG/LPE||LPE/PS","DGDG/LPE","LPE/PS",-0.443749949707769,6.8485371254832e-18,-0.522408608957113,1.96542615342894e-25,-0.0786586592493449,TRUE,TRUE,"stable_or_weak"
"LPE/PS||SQDG/PA","LPE/PS","LPE/PS",-0.443539661124239,7.12738922619903e-18,-0.194968631058873,0.000412261877962,0.248571030065367,TRUE,TRUE,"rewired_strength"
"DG/SQDG||TG/SQDG","DG/SQDG","DG/SQDG",0.443371215677228,7.35651362927763e-18,0.517285238760692,7.01357901906135e-25,0.0739140230834637,TRUE,TRUE,"stable_or_weak"
"LPC/PS||PE/SQDG","LPC/PS","LPC/PS",-0.443270362989209,7.49249210678226e-18,-0.088680358670783,0.124435573270358,0.354590004318426,TRUE,FALSE,"lost_in_LI"
"PA/PS||PC/MGDG","PA/PS","PA/PS",-0.442227235053819,9.1836799240188e-18,0.262663583864643,1.22810950771583e-06,0.704890818918462,TRUE,TRUE,"sign_flip"
